"Barrages hydroliques";ADMIN;FrancisA;DupondA;francisA@truc.fr;"01 Quelque part";19000;"Ing?®nieur Eau";
;ADMIN;FrancisC;DupondC;francisC@truc.fr;"03 Quelque part";39000;"Ing?®nieur Air";
"Super Ma?«tre";SADMIN;FRANCK;SADMIN;franck.amofa@gmail.com;SOMEWHERE;13000;TesteurSA;Esclave
"Super Ma?«tre";ADMIN;FRANCK;ADMIN;franck.amofa@gmail.com;SOMEWHERE;13000;TesteurA;Esclave
"Super Ma?«tre";ADMIN;FRANCK;MEMBRE;franck.amofa@gmail.com;SOMEWHERE;13000;TesteurM;Esclave
Infirmerie;MEMBRE;HuguetteA;DupontA;huguetteA@machin.com;"11 Highway to hell";13001;Infirmi?¿re;Retrait?®e
;VALIDATOR;HuguetteC;DupontC;huguetteC@machin.com;"33 Highway to hell";13003;Chirurgienne;Retrait?®e
;SADMIN;Nicolas;Damien;nicolas.damien@truc.fr;"33 Somewhere over the rainbow";13000;Directeur;
"Super Ma?«tre";SADMIN;VINCENT;SADMIN;vins.fisch@gmail.com;SOMEWHERE;13000;TesteurSA;Esclave
"Super Ma?«tre";ADMIN;VINCENT;ADMIN;vins.fisch@gmail.com;SOMEWHERE;13000;TesteurA;Esclave
"Super Ma?«tre";MEMBER;VINCENT;MEMBRE;vins.fisch@gmail.com;SOMEWHERE;13000;TesteurM;Esclave
